obs x	y	group
1	-1.96941896024465	-2.44946564885496	triangles
2	-1.22446483180428	-1.53465648854962	triangles
3	-1.85810397553517	-1.21832061068702	triangles
4	-2.47461773700306	-1.50045801526718	triangles
5	0.676452599388379	-2.54351145038168	triangles
6	0.685015290519877	-1.62870229007634	triangles
7	1.42996941896024	-1.33801526717557	triangles
8	0.393883792048929	-1.09862595419847	triangles
9	0.393883792048929	-0.927633587786258	triangles
10	0.822018348623853	-0.893435114503816	triangles
11	0.188379204892966	-0.713893129770992	triangles
12	-0.154128440366972	-0.765190839694656	triangles
13	-0.0428134556574928	-0.645496183206106	triangles
14	-0.453822629969419	-0.662595419847328	triangles
15	-0.368195718654434	-0.57709923664122	triangles
16	-1.05321100917431	-0.705343511450381	triangles
17	-1.04464831804281	-0.56854961832061	triangles
18	-1.22446483180428	-0.508702290076335	triangles
19	0.496636085626911	-0.602748091603053	triangles
20	0.642201834862385	-0.559999999999999	triangles
21	0.513761467889908	-0.474503816793892	triangles
22	0.342507645259939	-0.423206106870228	triangles
23	0.248318042813456	-0.303511450381678	triangles
24	0.0342507645259937	-0.371908396946564	triangles
25	1.13883792048930	-0.371908396946564	triangles
26	1.51559633027523	-0.0555725190839684	triangles
27	2.51743119266055	0.978931297709924	triangles
28	1.66972477064220	1.81679389312977	triangles
29	1.41284403669725	1.10717557251909	triangles
30	1.45565749235474	0.69679389312977	triangles
31	1.32721712538226	0.628396946564886	triangles
32	1.15596330275229	0.363358778625954	triangles
33	1.29296636085627	0.269312977099237	triangles
34	0.479510703363914	-0.294961832061068	triangles
35	0.470948012232416	-0.0812213740458008	triangles
36	0.316819571865444	-0.0299236641221365	triangles
37	0.179816513761467	0.346259541984733	triangles
38	-0.0171253822629973	0.406106870229008	triangles
39	-0.222629969418960	0.0470229007633596	triangles
40	-0.342507645259939	0.346259541984733	triangles
41	-0.470948012232416	0.106870229007634	triangles
42	-0.453822629969419	-0.0897709923664118	triangles
43	-0.693577981651376	-0.141068702290076	triangles
44	-0.659327217125382	0.209465648854963	triangles
45	-1.24159021406728	0.0812213740458025	triangles
46	-1.66116207951070	-0.0213740458015255	triangles
47	-1.43853211009174	0.628396946564886	triangles
48	-1.35290519877676	0.748091603053435	triangles
49	-0.119877675840979	0.79083969465649	triangles
50	0.111314984709480	0.782290076335879	triangles
51	0.239755351681957	0.483053435114504	triangles
52	0.308256880733945	0.577099236641222	triangles
53	0.607951070336391	0.645496183206108	triangles
54	0.822018348623853	0.568549618320612	triangles
55	0.873394495412844	0.825038167938932	triangles
56	1.07033639143731	0.679694656488551	triangles
57	1.07889908256881	0.961832061068702	triangles
58	1.04464831804281	1.08152671755725	triangles
59	1.02752293577982	1.19267175572519	triangles
60	0.78776758409786	1.09862595419847	triangles
61	-0.0770642201834861	1.51755725190840	triangles
62	-0.33394495412844	1.56885496183206	triangles
63	0.385321100917431	1.9193893129771	triangles
64	-1.89235474006116	-1.40641221374046	squares
65	-2.2434250764526	-1.05587786259542	squares
66	-0.607951070336391	-1.25251908396947	squares
67	0.822018348623853	-1.31236641221374	squares
68	0.436697247706422	-0.93618320610687	squares
69	2.62874617737003	-0.80793893129771	squares
70	0.548012232415902	-0.525801526717556	squares
71	0.881957186544343	-0.354809160305343	squares
72	-0.984709480122324	-0.525801526717556	squares
73	-1.14740061162079	-0.594198473282442	squares
74	-0.744954128440367	-0.423206106870228	squares
75	-0.967584097859327	-0.218015267175572	squares
76	-0.933333333333333	-0.115419847328244	squares
77	-1.90948012232416	-0.0897709923664118	squares
78	-1.1217125382263	0.312061068702291	squares
79	-1.21590214067278	0.414656488549619	squares
80	-1.27584097859327	1.09862595419847	squares
81	-1.50703363914373	0.884885496183207	squares
82	-1.42996941896024	1.18412213740458	squares
83	-1.22446483180428	1.17557251908397	squares
84	-2.13211009174312	1.26106870229008	squares
85	-1.78103975535168	1.92793893129771	squares
86	-1.94373088685015	2.24427480916031	squares
87	-1.36146788990826	2.44091603053435	squares
88	-0.976146788990826	1.95358778625954	squares
89	-0.376758409785932	2.02198473282443	squares
90	0.282568807339449	1.81679389312977	squares
91	-0.119877675840979	1.09862595419847	squares
92	0.222629969418961	0.825038167938932	squares
93	0.274006116207951	0.320610687022902	squares
94	0.941896024464832	0.611297709923665	squares
95	0.984709480122324	1.01312977099237	squares
